,Unnamed: 0,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr,Count_normalized
2302,2302,Prealbumin-like fold domain,T-Q ester bond containing domain,28,694,174,9.568723589031944e-36,6.423782391247193e-34,3.37
6040,6040,Transposase,zinc-finger binding domain of transposase IS66,21,335,108,1.0205973212591789e-35,6.8294145021605315e-34,3.09
2478,2478,FtsX-like permease family,MacB-like periplasmic core domain,22,221,201,1.356552992653792e-35,9.048208461000793e-34,3.14
682,682,Family of unknown function (DUF5906),Toprim-like,38,527,649,1.362536326708037e-35,9.058895057023176e-34,3.66
3224,3224,Recombinase zinc beta ribbon domain,"Resolvase, N terminal domain",34,345,700,1.7232439105575069e-35,1.1420357159806914e-33,3.56
618,618,His Kinase A (phospho-acceptor) domain,Histidine kinase,108,4527,960,1.9031773865303844e-35,1.2572523585076279e-33,4.69
589,589,HhH-GPD superfamily base excision DNA repair protein,"KhpA/KhpB, KH domain",26,152,613,1.986912734971658e-35,1.3083883637264005e-33,3.3
3141,3141,"CAAX prenyl protease N-terminal, five membrane helices",Sigma-70 region 2,24,54,1441,2.1072957793916973e-35,1.3832557089041946e-33,3.22
8609,8609,Methyl-accepting chemotaxis protein (MCP) signalling domain,Single Cache domain 2,24,1280,60,3.0307976831890015e-35,1.983158344787943e-33,3.22
10047,10047,DEAD/DEAH box helicase,Helicase C-terminal domain,68,8905,207,3.4145145528281455e-35,2.227189823622321e-33,4.23
1173,1173,Sigma-70 region 2,Sigma-70 region 3,31,1441,132,3.554805431642345e-35,2.311406034907823e-33,3.47
7884,7884,Leucine Rich repeats (2 copies),Leucine rich repeat,29,298,482,5.62067498976089e-35,3.631834273852686e-33,3.4
11525,11525,Pilin (bacterial filament),Prokaryotic N-terminal methylation motif,20,94,340,8.309543393028002e-35,5.352536720798754e-33,3.04
1226,1226,Domain of unknown function (DUF6538),"Phage integrase, N-terminal SAM-like domain",29,66,2634,9.202712054159743e-35,5.909455811921151e-33,3.4
14671,14671,FIVAR domain,GA module,18,523,41,1.0003135339729555e-34,6.40355509038972e-33,2.94
3272,3272,Domain of unknown function (DUF4143),UvrD/REP helicase N-terminal domain,35,466,601,1.2146497257329614e-34,7.751639623142112e-33,3.58
594,594,Fic/DOC family,"KhpA/KhpB, KH domain",24,120,613,1.4296213110354975e-34,9.095470722547994e-33,3.22
8613,8613,Cache domain,Four helix bundle sensory module for signal transduction,29,809,188,1.7362367853915884e-34,1.1012321475933091e-32,3.4
2077,2077,Cna protein B-type domain,Prealbumin-like fold domain,33,339,694,1.9888201783729967e-34,1.253744964274953e-32,3.53
2417,2417,CRISPR Cas6 N-terminal domain,"Lantibiotic dehydratase, N terminus",16,383,32,2.136876674785976e-34,1.338915121349989e-32,2.83
2416,2416,CRISPR Cas6 N-terminal domain,Lantibiotic biosynthesis dehydratase C-term,16,383,32,2.136876674785976e-34,1.338915121349989e-32,2.83
165,165,HD domain,Helicase conserved C-terminal domain,320,3234,8058,4.0108943986910675e-34,2.505536661079613e-32,5.77
1231,1231,Integrase,Phage integrase family,34,101,2975,5.6522596988249795e-34,3.509662876654778e-32,3.56
3535,3535,AraC-like ligand binding domain,Zincin-like metallopeptidase,21,207,206,5.723479158001586e-34,3.5432448667664316e-32,3.09
362,362,"Bacterial regulatory helix-turn-helix protein, lysR family",PRD domain,25,589,156,8.536628400894897e-34,5.253329328729279e-32,3.26
371,371,LysR substrate binding domain,PRD domain,25,589,156,8.536628400894897e-34,5.253329328729279e-32,3.26
2084,2084,Prealbumin-like fold domain,RHS Repeat,29,694,231,1.0775214542281669e-33,6.611249587262852e-32,3.4
4643,4643,ORF6C domain,Phage antirepressor protein KilAC domain,12,57,37,1.185352117763063e-33,7.251338976031612e-32,2.56
3142,3142,Peptidase family M48,Sigma-70 region 2,24,62,1441,1.3655115079733185e-33,8.328552281490334e-32,3.22
7360,7360,MatE,Polysaccharide biosynthesis C-terminal domain,12,46,46,1.3694964335767828e-33,8.328552281490334e-32,2.56
603,603,Fic/DOC family,R3H domain,24,120,681,1.8009924849089638e-33,1.0920563522129807e-31,3.22
2109,2109,MacB-like periplasmic core domain,Sigma-70 region 2,34,201,1441,3.0021160313883648e-33,1.815051262602843e-31,3.56
3440,3440,D5 N terminal like,Toprim-like,35,482,649,5.510940633996312e-33,3.312491845614585e-31,3.58
2353,2353,"Bacterial regulatory proteins, gntR family",UTRA domain,18,357,69,7.434582047373337e-33,4.4557928403924205e-31,2.94
671,671,Choline-binding repeat,Y_Y_Y domain,40,1581,304,7.620923839100301e-33,4.541148190809133e-31,3.71
17741,17741,Integrase zinc binding domain,Reverse transcriptase-like,20,325,124,1.3947713428890415e-32,8.263520646681006e-31,3.04
7407,7407,"CDC6, C terminal winged helix domain",Helix-hairpin-helix domain,18,231,107,1.5365370501081127e-32,9.077421881452984e-31,2.94
7184,7184,50S ribosome-binding GTPase,MnmE helical domain,18,195,128,2.084160879716949e-32,1.2277548293420898e-30,2.94
4642,4642,Phage antirepressor protein KilAC domain,Phage regulatory protein Rha (Phage_pRha),11,37,40,2.516947840345213e-32,1.4784923436027832e-30,2.48
3523,3523,AraC-like ligand binding domain,N-terminal domain of anti-restriction factor ArdC,21,207,246,2.719350720254159e-32,1.5928616102746527e-30,3.09
6280,6280,3'-5' exonuclease,UvrD-like helicase C-terminal domain,27,149,967,3.8806491250404566e-32,2.2539376954624026e-30,3.33
6281,6281,DNA polymerase family A,UvrD-like helicase C-terminal domain,27,149,967,3.8806491250404566e-32,2.2539376954624026e-30,3.33
972,972,Divergent InlB B-repeat domain,Secretion system C-terminal sorting domain,61,1034,1403,4.2976322344566204e-32,2.48913562218094e-30,4.13
3139,3139,"CAAX prenyl protease N-terminal, five membrane helices","Sigma-70, region 4",22,54,1376,5.92916122122172e-32,3.4245046528268585e-30,3.14
7239,7239,Coiled stalk of trimeric autotransporter adhesin,S-layer homology domain,43,627,975,7.169985197587799e-32,4.1296318643599695e-30,3.78
2100,2100,FtsX-like permease family,Sigma-70 region 2,34,221,1441,8.517481771557246e-32,4.892110294180256e-30,3.56
8785,8785,GAG-pre-integrase domain,Integrase core domain,17,41,588,1.8637876877309896e-31,1.0675218287870823e-29,2.89
2325,2325,Prealbumin-like fold domain,von Willebrand factor type A domain,31,694,346,2.692255028994254e-31,1.537783349019729e-29,3.47
6132,6132,Integrase zinc binding domain,Reverse transcriptase (RNA-dependent DNA polymerase),40,325,1632,3.6377659446721416e-31,2.0721235933329447e-29,3.71
4192,4192,DnaB-like helicase N terminal domain,UvrD-like helicase C-terminal domain,29,205,967,3.951034549490263e-31,2.2443830049398403e-29,3.4
8345,8345,HTH domain,WYL domain,30,424,532,1.1484939728160789e-30,6.506139692032344e-29,3.43
2420,2420,CRISPR-associated endoribonuclease Cas6,Lantibiotic biosynthesis dehydratase C-term,16,653,32,1.2139542280029208e-30,6.839490891666592e-29,2.83
2421,2421,CRISPR-associated endoribonuclease Cas6,"Lantibiotic dehydratase, N terminus",16,653,32,1.2139542280029208e-30,6.839490891666592e-29,2.83
3508,3508,Methyl-accepting chemotaxis protein (MCP) signalling domain,ParB/Sulfiredoxin domain,76,1280,1944,1.5405094049606953e-30,8.655737219122906e-29,4.34
3276,3276,AAA domain,UvrD/REP helicase N-terminal domain,52,1791,601,1.6893235897647248e-30,9.466163649204665e-29,3.97
6206,6206,Helix-turn-helix,ParB/Sulfiredoxin domain,58,716,1944,1.7447176541389084e-30,9.750142414764922e-29,4.08
2530,2530,AAA ATPase domain,"CDC6, C terminal winged helix domain",21,269,231,2.0288872444977392e-30,1.130762845134225e-28,3.09
17881,17881,RNase H-like domain found in reverse transcriptase,Reverse transcriptase-like,19,331,124,2.0809016789023435e-30,1.1566345165232195e-28,3.0
3140,3140,Peptidase family M48,"Sigma-70, region 4",22,62,1376,2.4507931341914844e-30,1.3585804191870596e-28,3.14
7858,7858,PGRS repeats,YadA head domain repeat (2 copies),21,163,390,2.795806894287181e-30,1.5456924907266319e-28,3.09
6205,6205,HTH domain found in ParB protein,Helix-turn-helix,51,1445,716,2.9253722747759497e-30,1.613011267347795e-28,3.95
2199,2199,Bacterial transferase hexapeptide (six repeats),Maltose acetyltransferase,10,55,22,3.6949559755600336e-30,2.0265412389033104e-28,2.4
2195,2195,Bacterial transferase hexapeptide (six repeats),Hexapeptide repeat of succinyl-transferase,10,55,22,3.6949559755600336e-30,2.0265412389033104e-28,2.4
2317,2317,Prealbumin-like fold domain,Thioester domain,22,694,115,3.7422426604929285e-30,2.047046335741065e-28,3.14
3,3,Helix-turn-helix domain of resolvase,"Resolvase, N terminal domain",23,135,700,3.959437311187356e-30,2.160139453388416e-28,3.18
1145,1145,BspA type Leucine rich repeat region (6 copies),CHU_C Type IX secretion signal domain,50,1981,508,5.2119075307317494e-30,2.8359634740247473e-28,3.93
1320,1320,CRISPR associated protein Cas1,Domain of unknown function (DUF4143),42,1386,466,6.544382256544286e-30,3.5516585805397954e-28,3.76
167,167,"Cas3, HD domain",HD domain,257,6232,3234,8.049713734791105e-30,4.357170965818735e-28,5.55
2110,2110,MacB-like periplasmic core domain,"Sigma-70, region 4",31,201,1376,9.370937959911262e-30,5.059083138305096e-28,3.47
1177,1177,Sigma-70 region 3,"Sigma-70, region 4",27,132,1376,1.3596818626976226e-29,7.3213911132809195e-28,3.33
1200,1200,BclA C-terminal domain,Collagen triple helix repeat (20 copies),13,24,334,1.402483062694532e-29,7.5322447499571e-28,2.64
10931,10931,IS66 C-terminal element,Transposase IS66 family,14,78,132,1.567603162192475e-29,8.397235902760052e-28,2.71
364,364,"Bacterial regulatory helix-turn-helix protein, lysR family","Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",20,589,101,2.7370735099622245e-29,1.4586203341620854e-27,3.04
373,373,LysR substrate binding domain,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",20,589,101,2.7370735099622245e-29,1.4586203341620854e-27,3.04
1748,1748,TrkA-C domain,Voltage gated chloride channel,15,200,79,3.8320966568729554e-29,2.036921917073576e-27,2.77
704,704,Poxvirus D5 protein-like,Toprim-like,27,279,649,4.073271136205692e-29,2.159564802136541e-27,3.33
6154,6154,RNase H-like domain found in reverse transcriptase,Zinc knuckle,18,331,116,5.570092139439265e-29,2.9455957843269997e-27,2.94
18621,18621,Ankyrin repeats (3 copies),"Zinc finger, C3HC4 type (RING finger)",18,512,78,6.441955415633727e-29,3.3979671461494536e-27,2.94
516,516,Integrase core domain,Reverse transcriptase (RNA-dependent DNA polymerase),48,588,1632,6.829025736094225e-29,3.592971123288049e-27,3.89
20005,20005,Calx-beta domain,Leucine rich repeat N-terminal domain,26,413,395,9.037022134748271e-29,4.74260169239061e-27,3.3
2101,2101,FtsX-like permease family,"Sigma-70, region 4",31,221,1376,1.915434939173689e-28,1.0001375817498575e-26,3.47
3741,3741,Helicase conserved C-terminal domain,WYL domain,95,8058,532,1.960700593271436e-28,1.0211941100018508e-26,4.56
2738,2738,EAL domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",167,1711,6352,2.574388983254396e-28,1.3341012783646903e-26,5.12
3221,3221,Recombinase,Recombinase zinc beta ribbon domain,29,708,345,2.5812993459751834e-28,1.3343381644182218e-26,3.4
1464,1464,"Initiator Replication protein, WH1","Purple acid Phosphatase, N-terminal domain",31,4247,82,2.643870944193469e-28,1.3598835699773227e-26,3.47
1462,1462,"Initiator Rep protein, WH2","Purple acid Phosphatase, N-terminal domain",31,4247,82,2.643870944193469e-28,1.3598835699773227e-26,3.47
7857,7857,PE family,YadA head domain repeat (2 copies),21,203,390,3.396268628214783e-28,1.742547057707123e-26,3.09
6373,6373,Peptidase dimerisation domain,Radical SAM superfamily,15,45,439,4.339372778533685e-28,2.2154373072034816e-26,2.77
6374,6374,Peptidase family M20/M25/M40,Radical SAM superfamily,15,45,439,4.339372778533685e-28,2.2154373072034816e-26,2.77
5556,5556,Alcohol dehydrogenase GroES-like domain,Glycosyltransferase Family 4,15,72,260,4.7147516933859595e-28,2.395256038430995e-26,2.77
5555,5555,Glycosyltransferase Family 4,Zinc-binding dehydrogenase,15,260,72,4.7147516933859595e-28,2.395256038430995e-26,2.77
9899,9899,MalT-like TPR region,Tetratricopeptide repeat,20,55,1407,9.029202508503871e-28,4.57590245755722e-26,3.04
606,606,HhH-GPD superfamily base excision DNA repair protein,Jag N-terminus,20,152,461,1.2514252421818727e-27,6.311151154291361e-26,3.04
1686,1686,Glycosyl hydrolases family 2,"Initiator Rep protein, WH2",48,253,4247,1.3692455934688703e-27,6.871818236931028e-26,3.89
1687,1687,Glycosyl hydrolases family 2,"Initiator Replication protein, WH1",48,253,4247,1.3692455934688703e-27,6.871818236931028e-26,3.89
7233,7233,S-layer homology domain,YadA-like membrane anchor domain,38,975,582,1.5048180143273675e-27,7.533927864950841e-26,3.66
4191,4191,PD-(D/E)XK nuclease superfamily,UvrD-like helicase C-terminal domain,31,333,967,1.801184190006325e-27,8.995914371198256e-26,3.47
6046,6046,Transposase IS66 family,zinc-finger binding domain of transposase IS66,14,132,108,2.0982029291320957e-27,1.0454106497750442e-25,2.71
14674,14674,Domain of Unknown Function (DUF1542),GA module,9,25,41,2.3573615846312237e-27,1.1717107087841298e-25,2.3
597,597,Helix-hairpin-helix motif,R3H domain,28,349,681,2.7802883241459244e-27,1.3786096325747069e-25,3.37
5538,5538,Glycosyl transferases group 1,Periplasmic binding protein-like domain,20,316,230,3.299038473884063e-27,1.6319191034569562e-25,3.04
613,613,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Tetratricopeptide repeat,145,6352,1407,4.179811492924634e-27,2.0626721298139057e-25,4.98
3744,3744,DEAD/DEAH box helicase,WYL domain,98,8905,532,4.2610171290108056e-27,2.0977393137275343e-25,4.6
5943,5943,Autotransporter beta-domain,BspA type Leucine rich repeat region (6 copies),39,323,1981,4.8999034908420856e-27,2.4065392988157203e-25,3.69
8615,8615,HAMP domain,Single Cache domain 2,22,2068,60,7.296603126457339e-27,3.5751626266767388e-25,3.14
964,964,"Initiator Replication protein, WH1",Replication initiator protein A,27,4247,62,7.507744288602597e-27,3.661264826779149e-25,3.33
966,966,"Initiator Rep protein, WH2",Replication initiator protein A,27,4247,62,7.507744288602597e-27,3.661264826779149e-25,3.33
2263,2263,FIVAR domain,Subtilase family,32,523,704,7.60436267317883e-27,3.699656635136909e-25,3.5
7185,7185,GTP-binding protein TrmE N-terminus,MnmE helical domain,13,84,128,8.892188079216601e-27,4.3160510073699925e-25,2.64
137,137,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat N-terminal domain,42,1981,395,8.953081115615116e-27,4.335429935071986e-25,3.76
5546,5546,Alcohol dehydrogenase GroES-like domain,Glycosyl transferases group 1,15,72,316,9.302949186166195e-27,4.483848026162201e-25,2.77
5545,5545,Glycosyl transferases group 1,Zinc-binding dehydrogenase,15,316,72,9.302949186166195e-27,4.483848026162201e-25,2.77
11410,11410,PGRS repeats,PPE family,16,163,184,1.003445152395766e-26,4.825171026997036e-25,2.83
2,2,Helix-turn-helix domain of resolvase,Recombinase,21,135,708,1.207526128438296e-26,5.793043563275788e-25,3.09
9908,9908,MalT-like TPR region,TPR repeat,15,55,459,2.870582346148096e-26,1.364483475202395e-24,2.77
561,561,"CRISPR-associated endonuclease Cas9, C-terminal domain",HNH endonuclease,81,184,21075,3.289189019298317e-26,1.55987526036769e-24,4.41
13729,13729,Acyl-ACP thioesterase C-terminal domain,Acyl-ACP thioesterase N-terminal domain,8,24,24,3.341302135655436e-26,1.5809634841864403e-24,2.2
6491,6491,GHMP kinases C terminal,GHMP kinases N terminal domain,12,88,88,3.7197582124968817e-26,1.756014624652923e-24,2.56
1878,1878,Biotin-lipoyl like,"Initiator Replication protein, WH1",28,72,4247,4.0714109912573076e-26,1.9132855696869853e-24,3.37
1879,1879,Biotin-lipoyl like,"Initiator Rep protein, WH2",28,72,4247,4.0714109912573076e-26,1.9132855696869853e-24,3.37
2441,2441,Helix-turn-helix of DDE superfamily endonuclease,Transposase domain (DUF772),9,22,64,4.5070724753354615e-26,2.1132140039118217e-24,2.3
3605,3605,Autotransporter beta-domain,"Mycoplasma protein of unknown function, DUF285",28,323,823,5.572525352994459e-26,2.6068576181870233e-24,3.37
2657,2657,BspA type Leucine rich repeat region (6 copies),SprB repeat,39,1981,345,5.85100559198595e-26,2.7309535581375504e-24,3.69
1167,1167,Cas3 C-terminal domain,"Type III restriction enzyme, res subunit",65,1295,1671,6.824184683437824e-26,3.1780105112487364e-24,4.19
9332,9332,"BetI-type transcriptional repressor, C-terminal","Tetracyclin repressor-like, C-terminal domain",12,34,261,7.817655837973784e-26,3.632486960938964e-24,2.56
660,660,Choline-binding repeat,"WD domain, G-beta repeat",32,1581,258,9.44440007094314e-26,4.378517046342854e-24,3.5
7178,7178,Integrase core domain,"Mu transposase, C-terminal",18,588,100,1.0602764250291914e-25,4.9045493602524825e-24,2.94
2577,2577,"Group II intron, maturase-specific domain",Reverse transcriptase (RNA-dependent DNA polymerase),25,123,1632,1.2493773631386446e-25,5.7663785128611065e-24,3.26
2219,2219,"Gram-positive pilin backbone subunit 2, Cna-B-like domain",RHS Repeat,15,114,231,1.3133010247066934e-25,6.047912090837484e-24,2.77
1180,1180,"Sigma-70, region 4","Uncharacterised 5xTM membrane BCR, YitT family COG1284",18,1376,48,1.346273153596995e-25,6.1859755548722364e-24,2.94
5547,5547,"Bacterial regulatory proteins, lacI family",Glycosyltransferase Family 4,21,405,260,1.5324705274300623e-25,7.025918646490333e-24,3.09
4272,4272,CRISPR-associated protein (Cas_Cas2CT1978),Helicase conserved C-terminal domain,62,265,8058,1.5412520356030845e-25,7.050546092956853e-24,4.14
341,341,His Kinase A (phospho-acceptor) domain,Recombinase zinc beta ribbon domain,54,4527,345,2.9836213516443357e-25,1.3588620856376637e-23,4.01
1176,1176,Sigma-70 region 2,"Uncharacterised 5xTM membrane BCR, YitT family COG1284",18,1441,48,3.0715296481810787e-25,1.3958245831964873e-23,2.94
11409,11409,PE family,PPE family,16,203,184,3.775447159030093e-25,1.7119500198961673e-23,2.83
3454,3454,Leucine Rich Repeat,"Mycoplasma protein of unknown function, DUF285",37,756,823,4.777323275426334e-25,2.161503574748147e-23,3.64
